asin,title,imgUrl,productURL,price,listPrice,category_id,category_name,image_page
B00004TN9O,PlayStation 2 Console Slim PS2,https://m.media-amazon.com/images/I/81bwyLZcZGL._AC_UY218_.jpg,https://www.amazon.com/dp/B00004TN9O,0.0,0.0,250,Legacy Systems,images/B00004TN9O.jpg
B0B124MVGC,"Pysrych Stainless Steel 304 Cast Pipe Fitting, Union, 3/8"" NPT Female x 3/8"" NPT Male, 1pc",https://m.media-amazon.com/images/I/61XNhXBf2ZL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B124MVGC,11.99,0.0,147,"Hydraulics, Pneumatics & Plumbing",images/B0B124MVGC.jpg
B091CQ9HN6,"uxcell 8pcs Round Die Stock Handle Wrench Set, M3 M4 M5 M6 M8 M10 M12 Metric Threading Dies & 25mm (1"") Die Holder for Bolt Thread Repair",https://m.media-amazon.com/images/I/61gysWlt8+L._AC_UL320_.jpg,https://www.amazon.com/dp/B091CQ9HN6,17.99,0.0,153,Cutting Tools,images/B091CQ9HN6.jpg
B00GRJ4RG6,"Rfid Aluminum Wallet, Black, One Size",https://m.media-amazon.com/images/I/71IGzubex5L._AC_UL320_.jpg,https://www.amazon.com/dp/B00GRJ4RG6,11.99,0.0,118,Women's Handbags,images/B00GRJ4RG6.jpg
B07CKFVWP2,Wrap Scarf - Tribal Print MULTI-COLORED,https://m.media-amazon.com/images/I/71ZG3PYNREL._AC_UL320_.jpg,https://www.amazon.com/dp/B07CKFVWP2,4.99,0.0,120,Women's Accessories,images/B07CKFVWP2.jpg
B01HKK9MWY,"LukLoy Full Set Hands-Free Foot Pedal Faucet, Foot Valve+Outlet+1m Flexible Hose+Screw, Hospital Medical Laboratory Touchless Floor Mount Foot Control Faucet",https://m.media-amazon.com/images/I/61Kjt8FwC5L._AC_UL320_.jpg,https://www.amazon.com/dp/B01HKK9MWY,30.99,0.0,151,Janitorial & Sanitation Supplies,images/B01HKK9MWY.jpg
B0BVRP97DV,"Vitamin C Face Serum - CE Ferulic Facial Serum with 15% Pure L-Ascorbic Acid, Ferulic Acid, Vitamin E, & Hyaluronic Acid - Anti Aging, Anti Wrinkle Skin Brightening Serum, Dark Spot Corrector, 30ml/1oz.",https://m.media-amazon.com/images/I/61Y5VY9OUdL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BVRP97DV,19.99,29.99,49,Skin Care Products,images/B0BVRP97DV.jpg
B0C6Q6FMC6,"uxcell Round Steel Rod, 3mm, 4mm High Speed Steel Lathe Bar Stock Tool 200mm Long, for Shaft Gear Drill Lathes Boring Machine Turning 10pcs",https://m.media-amazon.com/images/I/51miMjL3cxL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C6Q6FMC6,13.99,0.0,140,Industrial Materials,images/B0C6Q6FMC6.jpg
B002EEP5HI,Men's MSM824RA-180 18-mm Black Genuine Alligator Leather Watch Strap,https://m.media-amazon.com/images/I/81v8Jj5qlaL._AC_UL320_.jpg,https://www.amazon.com/dp/B002EEP5HI,69.34,75.33,113,Men's Watches,images/B002EEP5HI.jpg
B096Z9H5H8,Headbands for Women Non Slip Turban Headband Boho Wide Head Band Womens Hair Wraps Accessories for Teen Girls 8 Pack Solid Colors,https://m.media-amazon.com/images/I/717INh8eQrS._AC_UL320_.jpg,https://www.amazon.com/dp/B096Z9H5H8,9.99,0.0,120,Women's Accessories,images/B096Z9H5H8.jpg
B01H7VDXNU,"Portland Bee Balm All Natural Handmade Beeswax Based Lip Balm, Oregon Mint 3 Count",https://m.media-amazon.com/images/I/818fyWIQwtL._AC_UL320_.jpg,https://www.amazon.com/dp/B01H7VDXNU,9.99,0.0,49,Skin Care Products,images/B01H7VDXNU.jpg
B0CFDZ7FZZ,"ROG Ally Skin, Starfield Edition, Full Wrapping Vinyl Skin for ROG Ally (Designed by POP SKIN)",https://m.media-amazon.com/images/I/81KmlQCWiTL._AC_UY218_.jpg,https://www.amazon.com/dp/B0CFDZ7FZZ,30.0,0.0,255,Video Games,images/B0CFDZ7FZZ.jpg
B09Z65BYHJ,Men's Slip On Running Shoes Fashion Walking Sneakers Mesh Soft Sole Loafers Comfortable & Light-Weight Tennis Work Trainers,https://m.media-amazon.com/images/I/71emDhRitUL._AC_UL320_.jpg,https://www.amazon.com/dp/B09Z65BYHJ,29.99,0.0,114,Men's Shoes,images/B09Z65BYHJ.jpg
B07MNHYZC6,TRENDBOX Pack of 10 Black 11mmx270mm - Hot Melt Glue Sticks Strips Melting Adhesive for Handmade Craft DIY Home Office Project Craftwork Fix & Repairs,https://m.media-amazon.com/images/I/61hFYhBSHbL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MNHYZC6,6.99,0.0,143,"Industrial Adhesives, Sealants & Lubricants",images/B07MNHYZC6.jpg
B01BD7B41M,"WEN 10A326 Microfiber Polishing Bonnets (2 Pack), 10""",https://m.media-amazon.com/images/I/81nBvjGglVL._AC_UL320_.jpg,https://www.amazon.com/dp/B01BD7B41M,9.88,0.0,19,Car Care,images/B01BD7B41M.jpg
B07515QT1D,Little Girl Jumper Dress Cute Woolen Sleeveless Dress,https://m.media-amazon.com/images/I/71OSvr-oAyL._MCnd_AC_UL320_.jpg,https://www.amazon.com/dp/B07515QT1D,0.0,0.0,91,Girls' Clothing,images/B07515QT1D.jpg
B0CDD85YV1,RumbleSeat V2 - Theo - Dark Taupe | Silver Frame| Chestnut Leather,https://m.media-amazon.com/images/I/717YqDYPlJL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CDD85YV1,219.99,0.0,44,Baby Strollers & Accessories,images/B0CDD85YV1.jpg
B099N4XYJR,"HAUS AND HUES Flower Market Poster Botanical Decor - Flower Wall Art, Flower Poster Vintage & Flower Prints Wall Art Sage Green Wall Art & Floral Prints UNFRAMED 12""x16"" (Flower Market Sage)",https://m.media-amazon.com/images/I/812MTW5tFmL._AC_UL320_.jpg,https://www.amazon.com/dp/B099N4XYJR,14.99,15.99,174,Wall Art,images/B099N4XYJR.jpg
B01HU3PTYQ,"Moroccanoil Blow-dry Concentrate, 1.7 Fl Oz",https://m.media-amazon.com/images/I/51z8oIefA0L._AC_UL320_.jpg,https://www.amazon.com/dp/B01HU3PTYQ,30.0,0.0,47,Hair Care Products,images/B01HU3PTYQ.jpg
B0BBY4BJ1P,"LEGO Marvel Black Panther, King T’Challa Model Building Kit, 76215 Collectible Wakanda Forever Memorabilia, Super Hero Set for Adults and Teens, Avengers Infinity Saga",https://m.media-amazon.com/images/I/71USiW4UYtL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BBY4BJ1P,224.99,349.99,220,Building Toys,images/B0BBY4BJ1P.jpg
B0CCXJ1Q2V,"2 Pack Cute Corgi Dog Luggage Tag, Kawaii Pet Puppy Travel Suitcase Labels with Privacy Cover ID Label Quickly Spot for Bags & Baggage",https://m.media-amazon.com/images/I/71mbIk-qyiL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CCXJ1Q2V,10.99,12.99,105,Travel Accessories,images/B0CCXJ1Q2V.jpg
B07B9YRYV3,Men's OC3353 Sentinel Analog Display Quartz Black Watch,https://m.media-amazon.com/images/I/91YWzSO9kXL._AC_UL320_.jpg,https://www.amazon.com/dp/B07B9YRYV3,123.75,0.0,113,Men's Watches,images/B07B9YRYV3.jpg
B003YLRBCW,"Professionals Choice Equine Combo Bandage Wraps Value Pack, Set of 4 (Universal Size)",https://m.media-amazon.com/images/I/61HYLkSiwOL._AC_UL320_.jpg,https://www.amazon.com/dp/B003YLRBCW,53.95,58.51,182,Horse Supplies,images/B003YLRBCW.jpg
